,frq_word,tf,idf,tfidf,probability
0,i,13316,0.0,0.0,0.053527569753466064
1,and,7959,0.007453450654580972,59.322013759809956,0.031993536172111474
2,the,6490,0.007453450654580972,48.37289474823051,0.02608845957494704
3,to,6252,0.0,0.0,0.025131748730750213
4,it,5947,0.007453450654580972,44.32567104279304,0.023905711724531594
5,you,5732,0.014962872676712318,85.76718618291501,0.023041456129984043
6,a,5327,0.0,0.0,0.021413439777464235
7,that,4993,0.027605266091888916,137.83309359680135,0.02007082876081827
8,s,4489,0.0,0.0,0.018044852855460286
9,of,3626,0.02506396866321622,90.88195037282202,0.014575771096881043
10,so,3142,0.017478597273959763,54.91775263478158,0.012630191060783297
11,like,3052,0.10701204369629921,326.6007573611052,0.012268409649112228
12,t,2747,0.0,0.0,0.011042372642893608
13,is,2510,0.012453461071286557,31.25818728892926,0.010089681592159795
14,my,2490,0.08252102368800344,205.47734898312856,0.010009285722899558
15,in,2455,0.0,0.0,0.009868592951694143
16,m,2418,0.0,0.0,0.009719860593562703
17,um,2377,0.25521168742099676,606.6381809997093,0.009555049061579217
18,know,2187,0.12088189156044979,264.3686968427037,0.00879128830360696
19,this,2159,0.09333193979221914,201.50365801140111,0.008678734086642628
20,but,2032,0.1695324006776333,344.4898381769509,0.00816822031684012
21,just,1974,0.14634295575872283,288.8809946677189,0.007935072295985432
22,was,1909,0.2456726643742379,468.98911629042016,0.00767378572088966
23,for,1791,0.09333193979221914,167.1575041678645,0.00719945009225426
24,on,1767,0.0,0.0,0.007102975049141975
25,have,1729,0.09333193979221914,161.3709239007469,0.006950222897547524
26,me,1455,0.007453450654580972,10.844770702415314,0.005848799488682272
27,be,1433,0.02506396866321622,35.91666709438884,0.005760364032496011
28,really,1426,0.27782977600876924,396.18526058850495,0.0057322254782549275
29,not,1374,0.1292970884857343,177.65419957939892,0.00552319621817831
